mzmed,T016B1,T016BCG,T016PPD,T027B1,T027BCG,T027PPD,T080B1,T080BCG,T080PPD,T095B1,T095BCG,T095PPD,T101B1,T101BCG,T101PPD,T104B1,T104BCG,T104PPD,T011B1,T011BCG,T011PPD,T013B1,T013BCG,T013PPD,T014B1,T014BCG,T014PPD,T032B1,T032BCG,T032PPD,T033B1,T033BCG,T033PPD,T047B1,T047BCG,T047PPD,T051B1,T051BCG,T051PPD,T107B1,T107BCG,T107PPD,T108B1,T108BCG,T108PPD,T166B1,T166BCG,T166PPD,T173B1,T173BCG,T173PPD,T176B1,T176BCG,T176PPD,T035B1,T035BCG,T090B1,T090BCG,T090PPD,T142B1,T142BCG,T142PPD,T163B1,T163BCG,T163PPD,T164B1,T164BCG,T164PPD,T165B1,T165BCG,T165PPD
692.264553,96446804,307660,6280,3009984,7542481,52771250,13472,7276056,9007522,42126635,725119,137577527,2331623,17892098,1247232,1258590,10439,6573,2319433,127118,4930002,5865,24294021,856019274,1654436,0,665318,2605,14918557,0,896402179,284506759,8121553,41173766,6968855,2469,111650996,0,0,293952,1591720,191344,9016390,2384,4410,4044565,903060,33591479,284024,4720816,58763,640789,7005265,17348,5030825,716901363,36748165,7717460,410160809,3417323,618847,67308,781537,544017,4962946,1872864,3926029,14941,37169,5581,6438
693.265063,18331199,21367,3230,0,1272376,9959215,0,831035,1552861,8185804,49765,27131393,242554,2986204,70444,152711,8034,0,176279,5298,3259445,9583,4839010,172798965,171428,3214,22761,0,2546544,2958,181403632,55290651,1664475,7788996,1390096,0,12075325,0,0,31083,429695,37264,1742898,0,0,660017,183518,6937041,75565,0,7239,7412146,1307885,24473,703118,144492924,6889417,1508097,82447000,563542,1754597,0,59917255,88446,810219,51807,613267,0,3836,0,14785
820.354278,9185915,175253,0,38881888,419859773,133858829,0,236110,20545964,3338685,73316,4810440,274525,24175,1060160,3681,10015,0,1311112,7547,189320,0,10852907,8986667,245433,2162,0,0,30063046,2076,20557683,33670598,1088011,2348831,17072239,0,39605222,0,0,18829,5557,0,839821,0,0,46793,4040,673790,0,16853770,0,65482422,0,0,367116,10209470,8377002,3350018,3473637,30268,24227266,36979993,20060881,2083,42535,33831,2740,0,0,0,0
820.604961,831016,0,48839,2011517,85350486,33373127,1684667,10514,9508458,3155757,5535,1870296,349123,850215,66806,0,509480,0,666822,0,14564,907208,33332849,13559751,10364,341841,4132,1042782,1583478,515250,6552365,41453025,448068,1546648,6762485,1124289,371403,0,720417,840618,6416260,8920,762689,368368,759705,0,6074,417121,0,0,0,0,1286797,0,0,186679,17285,49192,54354,1032126,0,0,0,6258,0,0,2174350,0,0,18018,13982
820.604986,17545468,543155,0,61643467,680733629,212468979,0,706684,32843903,5203166,137831,7848565,512986,68436,1962080,34052,2082,0,2103936,10561,355481,0,17305147,14511350,388696,0,1799332,0,48301707,0,31728463,48640856,1741450,3821714,26806089,0,62204730,0,0,53235,5059,0,2119857,0,0,129686,0,1030952,2289,0,0,6569298,0,0,493716,16254104,2631966,1191137,5947580,2927,26845,0,0,2133,74054,60695,0,0,0,0,0
820.85553,550040,0,26989,1540274,79900459,30204065,1537090,11399,8850455,2595143,7752,1554488,234516,277589,92535,5240,305548,2073,426822,2832,13748,897855,24171328,11574811,16306,309957,0,367688,1290863,621366,5251202,35140276,313710,1496503,6158425,1016187,719629,6131,513562,585662,5069992,6677,719347,922790,939503,0,2317,485214,0,0,0,376402,1106122,85005,17267,144142,39413,0,97468,534265,0,0,0,3975,0,0,1442601,34873,27517,102134,138407
820.855642,15617922,564041,2157,55598644,603480374,186541510,3019,660830,28885580,4556790,584389,6709358,548837,74376,1500182,41748,7934,0,1803347,19345,2053579,0,15252936,12460892,330611,0,4861,0,40898274,2465,27444375,43845733,1607523,3307840,23248055,0,54271507,0,2546,251588,2919,0,2019634,0,3022,244445,0,1588203,0,0,0,4481840,0,0,405778,14581623,2040425,1030144,5162865,32077,0,23719,262942,0,291841,206605,0,0,0,0,0
821.106307,9027715,142431,0,35715600,375130592,118726104,0,290968,17656181,2883618,25208,4260673,242107,32132,987432,11785,5112,0,1163824,6915,139707,0,9638564,7832279,213238,0,775054,0,26484159,0,17672337,29911638,963808,2305333,15703387,0,34846273,0,0,180594,0,0,1226548,0,0,92912,0,1160509,0,0,0,197254,0,0,312495,9600401,2873455,1428155,3228059,3680,0,30429,268886,0,365077,230479,0,0,0,0,0
860.867333,5553978,75389,0,17677391,215442249,62368027,0,512054,13973115,1658767,18090,2231786,138158,13899,630989,7285,0,0,984605,8385,120150,0,6224185,5242515,111668,0,241597,2520,13628034,2878,9305441,15311690,496447,1373982,10064812,0,22414747,0,0,14507,0,0,928918,0,3325,15332,2025,265304,0,0,0,0,0,3097,189748,5978564,2504225,970554,1259020,2050,35431,0,0,0,19800,0,0,0,2250,5008,0
861.118034,11233583,370498,0,31182794,365018899,104681128,0,890036,22238055,2809322,35067,4021688,318883,23059,1145350,5264,13459,0,1709821,18024,209229,0,10806246,8403116,211180,0,634631,0,20566999,0,15408073,25870251,804443,2500483,16583009,0,36618729,0,0,15961,0,0,1647648,0,0,60310,2899,455274,0,0,0,0,0,0,335594,9936999,1342765,663616,1884869,8159,0,20248,0,2283,39218,48992,2454,0,0,0,0
861.368713,9368184,285922,2178,29561832,334781144,95509684,0,778152,20380561,2472311,33058,3593599,245215,41441,999809,6628,9492,0,1485246,18824,190925,0,9753559,8109124,209744,2174,562566,0,19967694,0,13852860,21742093,770647,2243312,15499800,0,34263700,0,4198,3447,0,0,1543688,0,2807,17789,2219,540526,0,0,0,0,3466,2520,322494,9509418,1337004,749888,1887695,4574,0,28886,0,0,48629,39880,5161,0,2294,6381,0
861.619347,4431621,82174,0,24377148,218169644,64970695,0,496358,13611582,1656739,19321,2270472,157231,10382,601710,3502,9992,0,1019641,8615,99939,0,6303613,5319194,158374,0,316034,0,13171469,0,9178675,15014908,472474,1379140,10708549,0,22435544,0,0,0,0,0,939202,0,0,17223,2318,269404,8441,0,0,0,0,0,227131,5406577,2656622,1225982,1111615,6599,0,0,246953,2058,11581,35017,2113,0,0,0,0
888.114931,1023537,9251,0,20570124,61711218,25606591,2113,99670,1408093,384323,7847,4112438,43281,120365,31393,0,3852,0,444710,21599,33321,0,16061189,3025689,47213,3070,17142,0,17843169,0,923889,18565552,1121917,740716,5855093,0,1310753,0,0,45839,0,0,196036,0,2278,8735,0,641964,0,0,0,0,0,0,75088,2275143,893134,850776,829889,9941,0,0,0,0,95226,178701,3275,0,0,0,0
982.32971,5582581,16035,0,8772739,5231493,629291,0,15597,574505,957724,10384,1294843,104403,372499,925604,11730,0,0,281322,108959,6180,0,10010326,874244,378543,0,86736,0,3664510,4612,1241045,6553512,108484,677642,1689356,2936,3905917,0,0,618723,4340,0,664654,2027,0,1232812,2291,2806406,0,0,0,122185,0,0,138436,9755688,1450472,2675217,2488972,7259,0,0,66223,4547,2806933,2485152,0,0,2395,0,0
993.744855,269355,0,2645,20763524,81923369,30106204,2582,5379,866803,103180,3048,2027709,27612,8478,0,6134,0,0,291255,0,19127,4094,15129094,3120306,9173,0,3323,0,12144188,3468,669269,32904766,535676,2263504,16718753,5729,1127290,0,0,0,0,0,86394,0,0,0,0,42533,6608,60798,0,0,0,0,92475,3145077,887534,689954,1783373,5570,193183,41287,0,0,10609,10285,2480,0,0,2350,0
994.079198,417956,0,0,26625034,113833683,41370900,0,0,1383088,150756,0,2989783,64384,5980,5066,0,4286,0,536316,0,15930,0,21986627,4527312,15750,0,6371,0,18571997,3086,815621,45628015,805070,3274875,22793416,0,1671016,0,0,0,0,4489,157764,0,0,0,0,25706,0,2952633,0,0,0,0,112562,4766816,1053054,1069500,2353794,0,0,0,0,0,0,0,5601,0,0,0,0
994.413554,803696,372382,0,20133738,91219350,33976678,0,5529,1078043,119166,49561,2254192,57148,3612,42131,15301,2013,0,366278,0,412321,0,16833092,3358007,112087,0,69429,0,13620198,0,670306,36777913,486191,2504437,16547823,0,1170301,0,0,11703,2022,0,114480,0,0,0,0,461287,2491,1912635,0,340585,0,0,81456,3540529,936042,758453,1894884,4696,136400,27237,329656,0,49208,40549,2389,0,0,0,0
1063.35588,5679458,36242,0,7201859,4892950,465291,0,17098,366451,1235290,22433,1288256,129430,364369,1146710,13531,0,0,389428,274396,0,0,9908079,879532,564950,0,2740,0,3264765,0,1317897,5565811,130439,809086,1319270,0,3618021,0,0,965959,0,0,684258,0,0,1777812,3181,3706986,0,332849,0,160262,0,0,216879,8843179,1264330,3334773,2537908,2275,763083,111466,0,0,2831167,2575410,0,0,0,0,0
1063.857703,5274459,33696,0,6259594,4259957,455302,0,0,537086,1104671,20794,1284816,109714,408779,983938,10677,4336,0,300316,318810,0,0,8875823,893099,515144,3445,0,0,2890388,0,1278414,4977876,133822,753060,1092622,0,3338609,0,0,791781,0,0,210219,0,0,1508368,0,3284942,0,519709,0,49116,0,0,450114,7823194,1077842,2731624,2249250,0,1049803,89630,105885,0,2563507,2201210,2455,0,0,0,0
1115.455773,7174605,106408,0,90246726,450114364,152557489,0,1162135,5257632,783467,86474,9087778,237176,215776,150349,2718,6604,0,2580846,84038,298965,0,93301319,20322481,290161,0,5567,0,25645120,0,2842822,82712405,3314119,5645099,43966294,0,4433960,0,0,79839,0,0,539149,0,0,110949,3080,3896871,4675,92472,0,0,0,0,615641,15835007,9754486,6488196,6299409,2716,33268,0,257869,2464,22490,46362,0,0,2456,5470,0
1115.790025,11333532,382074,0,129952179,703809315,239096477,0,1792334,8234970,1275456,144997,14354140,515209,337238,248507,3721,0,0,3602620,128765,470845,2387,144778136,31564619,578504,0,234906,2877,39364117,0,4354240,131627401,5525019,8901028,67679514,4210,6680873,2753,0,3812,4382,0,961163,0,0,156674,0,6321473,0,0,0,0,0,3220,1031691,24851477,14928264,9215802,9339017,6052,0,0,0,0,95776,77781,0,0,0,0,0
1116.124347,10207231,289691,2208,116954750,625165245,208539925,0,1557675,7125019,1022686,144647,12582424,382007,292047,269863,3126,2048,0,3204161,127249,436047,3556,132326377,27869048,416970,0,218612,0,34201153,0,3733829,115050406,4776336,7826924,58181334,0,5546772,0,0,26117,3946,0,870973,0,2134,165972,2235,5458686,2841,0,0,0,0,0,588744,21497068,13837206,7998487,8141986,3675,29177,32796,0,0,139889,275619,5345,0,0,0,3144
1116.458502,0,0,0,0,0,0,0,0,0,0,30871,0,0,0,0,20645,2106,0,0,0,0,0,0,0,287388,0,2527,0,0,0,0,0,0,0,0,2706,0,0,0,0,0,0,0,0,0,44485,0,3803657,0,43652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59312,153426,0,0,0,2063,0
1116.792887,2081244,100641,0,38014744,201242862,67796369,0,468090,2333948,341994,0,4031027,137895,71020,106768,0,2468,0,1170699,40980,182186,2998,43390438,9142215,122399,0,103861,0,11998521,0,1114012,37308058,1546771,2559251,19515936,0,1917874,0,0,20021,0,0,248419,0,2003,47674,6663,1392483,0,0,0,0,0,0,280815,7169161,4540381,2768813,2566822,0,0,0,0,0,119552,0,0,0,0,2005,0
1144.382508,6106654,68980,0,6960072,5692384,424949,0,27805,351017,1683517,64505,1250405,146560,511765,930499,11342,0,0,462233,447267,2357,0,9571796,972779,652702,0,204260,0,3313790,0,1384168,5958799,178606,818815,1247826,0,3409843,0,0,436477,0,0,893540,0,0,1773052,2700,3416139,0,0,0,0,0,0,440317,9437399,441084,1193239,2786778,5195,0,0,0,0,2648147,2530487,0,0,2171,0,0
1144.884131,5973776,61886,0,7084339,5536377,492770,0,52189,364964,1668732,34560,1302680,120204,394159,1298843,8040,0,0,383614,440959,2351,0,9217272,928064,546453,0,160877,2519,3189292,2281,1182105,5943450,155235,740501,1226876,0,3213876,0,0,792930,0,0,844407,0,0,1601986,0,3284978,0,42604,0,0,0,0,437012,8750622,1058266,3035187,2393505,0,0,22779,0,0,2602826,2412050,0,0,0,0,0
1183.149121,2228374,10032,0,38091116,149095594,53673464,3967,105703,1960350,881444,16780,5901597,109238,307646,52202,14492,0,0,2184263,20312,37884,3339,25524077,5632824,63302,4611,6891,0,31281834,0,2355731,33714159,1947035,1838004,11919221,0,1767957,0,5367,15431,0,0,303346,2762,0,61413,5371,698684,0,0,0,0,0,0,189735,3609098,1182759,1498816,3073486,12909,0,0,0,0,81511,288399,0,0,0,0,0
1183.483492,5302067,38744,0,68316740,245620857,92305983,0,375438,3538317,1476201,50692,9613785,596468,413250,188607,13643,2146,0,3585509,88697,68211,0,43610245,9240696,193983,0,34723,0,50083698,2811,3418086,57015420,3310324,2887877,19751808,0,2819667,0,0,144148,0,2067,513073,0,0,219735,0,2999896,5472,0,2659,0,0,0,356558,6125120,1626766,2070526,5382882,11665,0,0,0,0,302221,928892,0,0,0,0,0
1183.817643,4960754,37300,0,64756045,227141055,85693991,0,316998,3437537,1404995,47601,9143686,298548,263478,174073,0,0,0,3261716,63639,60965,2963,39728068,8783622,174194,0,34101,0,47819331,0,3335468,51846662,3044520,2658289,18950683,2925,2653706,0,0,101150,2115,0,531650,0,0,212640,0,2030841,0,0,0,0,0,0,348581,5766779,2044983,2179656,5021920,3376,0,0,0,0,229520,718089,0,0,0,3559,0
1184.151803,0,0,0,41784788,152554242,56226513,4982,175579,2187490,902640,0,0,130955,0,0,0,0,0,0,23416,19373,0,26123396,0,0,0,0,0,0,2358,0,34926613,0,0,0,0,1873327,0,0,34103,0,0,338109,0,0,112672,2426,987422,0,0,2041,0,0,0,0,0,1223445,1610512,3313010,6317,38096,0,0,0,103940,0,5021,0,0,2107,0
1195.456216,30436704,663124,0,143209812,335115613,63642391,0,1821295,4718321,8381651,342475,7184019,1263595,2885311,2182328,103526,0,0,1994213,129512,98831,0,46363291,7714530,2811864,0,3796,0,15461852,0,10589638,30329166,3950295,8176099,67478320,3603,15794071,0,0,1788090,0,0,3672065,0,0,698769,0,5810687,5289,0,0,413806,0,0,1477436,20581342,9624223,6262128,12561332,96125,49047,0,489820,0,3071246,1803816,5425,0,0,2380,0
1195.656659,24313358,1256626,0,131138661,283856471,55365233,6791,2291694,4699779,6621830,338019,6017430,1003898,2412661,1881069,108686,0,0,1840069,440314,107980,0,38648929,6852871,2397780,0,0,0,11902075,2151,8803360,26968196,3209700,6288213,56222504,0,11772360,0,0,2444326,7774,0,2096686,0,4656,561071,0,7113591,3777,0,4304,294295,0,2183,1065823,16139277,7390699,4824797,11323721,94946,0,0,0,3246,2835108,2227083,4101,0,11607,0,2878
1196.057483,11020486,403716,0,52920603,124299541,22716182,0,1090629,1834461,2870474,119045,2453366,346557,322482,418814,38777,0,0,595738,118937,27354,0,16740443,2746942,962146,0,0,0,4765133,0,3709375,11002150,1391020,3016202,24172297,0,5295667,0,3877,1007790,3014,0,1335434,0,2488,171179,2692,2763070,5620,0,3443,0,2083,2937,464263,6794019,2904847,2528980,4915415,19107,0,0,0,3144,1364498,809979,13621,0,18206,10079,0
1196.257799,6756594,95728,0,28963097,69502024,13180952,0,645995,681612,1651104,13897,1402912,140459,353001,223032,18688,0,0,358002,44725,0,0,9227608,1249665,320434,0,2984,0,2916570,0,1936631,6313963,652267,1547098,13472350,0,2767667,0,0,333376,0,0,720433,0,0,41127,0,756171,2112,0,0,0,0,4197,230869,4136458,2250237,1239197,2504322,55494,0,0,0,8495,420775,265663,0,0,0,2302,0
1225.409015,5860518,60253,0,6302600,4977626,688918,0,40642,340235,2512739,34840,958848,83874,337370,1149282,22498,0,0,366322,471465,3883,0,7812463,716343,541376,0,219241,0,2848060,0,1165325,5297383,99377,744820,853229,0,3046022,0,0,448731,0,0,654361,0,2347,1515372,0,2669723,4456,217611,2263,0,0,0,386694,7855261,302051,826926,2385924,2610,52475,31853,0,0,1967048,1823417,0,0,0,0,0
1225.910763,4754568,68852,0,6132503,5840641,494795,0,19009,319897,2439768,52140,898098,91081,411311,610437,10350,0,0,450668,286935,0,0,8007836,744105,574091,0,203897,0,2720930,0,1141822,5607929,86408,717908,990919,0,2876825,0,0,186347,0,0,689335,0,0,1374868,2527,2893864,0,0,0,229023,0,0,417132,8069530,325002,1138330,2308096,2318,80456,0,0,0,2367365,1821493,0,0,2404,0,0
1256.673907,3319645,440684,0,25745809,30786103,5916613,0,211276,585447,961264,62346,1207567,131939,945168,223056,26780,0,0,418779,224759,25819,0,67636708,12231461,661322,4134,33838,0,3061628,0,1790664,10730723,399067,2115869,14118768,0,8708103,0,3447,1401399,0,0,657694,2807,0,720699,4577,1555458,0,3543372,0,1556991,0,0,306638,9784956,2037260,1102715,1150733,8379,4585695,958849,2529282,0,2428168,3239881,3118,4613,0,2063,0
1256.874285,3158825,233317,0,27841984,34749979,6509376,2516,216206,548342,1033771,31095,1400321,144620,1422102,432021,35200,0,0,452522,223064,25857,0,76315887,13100377,628257,0,52311,0,2856170,0,2161875,11705719,448925,2395171,15355414,0,9818705,0,0,1890182,0,0,815755,0,0,956514,0,1582753,0,2937968,0,873605,0,0,336666,11315260,2105837,1258381,1596077,2127,4509880,1379159,3583857,0,2534426,3897400,0,0,0,2031,0
1257.074696,2724582,205822,0,24594765,30108479,5573067,0,273449,518723,719065,72772,1293799,125616,1302609,356967,22787,0,0,424030,202533,37599,0,65948551,11132164,442299,0,55092,3356,2568187,0,1873598,9985322,420880,2136394,13695930,0,7977192,0,0,1713746,0,0,669896,0,0,849528,2610,1514873,0,2427326,6762,993457,2017,0,282942,9131401,1874787,945655,1325242,0,4814180,933126,3512408,2736,2353835,3524664,0,0,0,0,2985
1257.275205,1871339,151195,0,17915081,23494087,3973483,0,137351,428033,516671,43973,817634,89261,841051,253809,14077,0,0,326960,129810,6227,0,48786187,8799865,428335,0,20737,0,1912296,0,1319193,8652574,259499,1489706,10620049,0,5833062,0,0,1256253,0,0,474954,0,0,548560,0,1040723,0,1629155,0,495984,0,0,191355,7035053,1482997,633544,793327,4898,2829742,485048,2159677,0,1718841,2122924,0,0,0,3304,0
1306.435587,5127190,57912,0,5780625,4561407,279328,0,35541,313725,2217192,37770,928350,56681,285238,827932,29234,0,0,398173,491567,0,0,6978281,642275,1023050,0,152149,0,2828430,0,896330,4798922,34032,622413,767692,0,2938004,0,0,239097,0,2434,379742,0,0,1350189,2837,2462749,4996,43090,0,0,0,0,346292,7325886,15328,327971,2569174,0,0,28269,0,0,2026903,1126074,0,0,0,0,0
1327.102744,2620351,61238,0,43582791,52820175,19769868,0,601184,1412433,4755483,17812,2754807,133501,1468887,457296,17957,0,0,742180,94248,0,0,22118260,4051822,1004621,0,34134,0,4422296,2297,2271720,9963974,710943,1231383,15470488,0,4846717,0,0,129722,6559587,257047,899854,0,0,24480,125451,1242703,177318,0,0,0,2186926,6761,547011,7459859,391038,217916,3113125,14647260,0,0,0,285140,0,98936,2568677,12653,52106,15209,6704
1493.567426,10310973,102348,0,54637463,129932148,21910710,0,393177,1428839,2794386,59989,1963012,323633,834036,287981,27038,0,0,701099,43768,3082,3365,12928056,2252974,1075008,0,0,0,5446924,0,3899669,10016353,637499,2530190,25394877,3408,4292635,0,0,805806,0,0,556939,2478,2280,173949,2721,2905421,0,0,0,234337,7946,0,504296,5817117,4044177,3910043,7028181,350841,81518,0,318063,6577,941767,476722,5387,0,0,0,0
